Membership No  Date Joined  Active  
    37524      2020-7-8     no    
    47591      2017-8-12    no    
    53235      2020-8-23    no    
    10860      2017-2-20    no    
    25741      2015-4-14    no    
    66446      2016-12-23   no    
    14441      2015-8-12    no    
    79169      2018-1-6     no    
    45457      2020-4-25    no    
    20563      2017-12-13   no    
    81968      2020-6-6     no    
    14359      2019-6-22    no    
    71487      2019-11-25   no    
    38374      2017-11-5    no    
